user_id,shop_id,items_bought,amount_spent,purchase_date
212,29,0,0,2023-01-01 00:00:00
175,29,0,0,2023-01-01 01:00:00
75,21,0,0,2023-01-01 02:00:00
456,18,0,0,2023-01-01 03:00:00
613,8,0,0,2023-01-01 04:00:00
129,21,0,0,2023-01-01 05:00:00
392,3,0,0,2023-01-01 06:00:00
686,31,0,0,2023-01-01 07:00:00
607,12,0,0,2023-01-01 08:00:00
64,11,0,0,2023-01-01 09:00:00
122,12,0,0,2023-01-01 10:00:00
845,34,0,0,2023-01-01 11:00:00
303,34,0,0,2023-01-01 12:00:00
426,44,0,0,2023-01-01 13:00:00
456,50,0,0,2023-01-01 14:00:00
122,34,0,0,2023-01-01 15:00:00
95,4,0,0,2023-01-01 16:00:00
261,24,0,0,2023-01-01 17:00:00
427,48,0,0,2023-01-01 18:00:00
526,31,0,0,2023-01-01 19:00:00
154,14,0,0,2023-01-01 20:00:00
212,2,0,0,2023-01-01 21:00:00
641,38,0,0,2023-01-01 22:00:00
497,37,0,0,2023-01-01 23:00:00
635,22,0,0,2023-01-02 00:00:00
448,45,0,0,2023-01-02 01:00:00
238,23,0,0,2023-01-02 02:00:00
275,9,0,0,2023-01-02 03:00:00
577,47,0,0,2023-01-02 04:00:00
823,19,0,0,2023-01-02 05:00:00
770,8,0,0,2023-01-02 06:00:00
370,8,0,0,2023-01-02 07:00:00
320,16,0,0,2023-01-02 08:00:00
556,5,0,0,2023-01-02 09:00:00
440,9,0,0,2023-01-02 10:00:00
290,32,0,0,2023-01-02 11:00:00
386,50,0,0,2023-01-02 12:00:00
981,35,0,0,2023-01-02 13:00:00
191,10,0,0,2023-01-02 14:00:00
781,11,0,0,2023-01-02 15:00:00
275,48,0,0,2023-01-02 16:00:00
687,8,0,0,2023-01-02 17:00:00
401,16,0,0,2023-01-02 18:00:00
548,50,0,0,2023-01-02 19:00:00
483,45,0,0,2023-01-02 20:00:00
793,10,0,0,2023-01-02 21:00:00
475,48,0,0,2023-01-02 22:00:00
587,3,0,0,2023-01-02 23:00:00
744,45,0,0,2023-01-03 00:00:00
801,1,0,0,2023-01-03 01:00:00
932,43,0,0,2023-01-03 02:00:00
128,2,0,0,2023-01-03 03:00:00
939,40,0,0,2023-01-03 04:00:00
75,44,0,0,2023-01-03 05:00:00
699,38,0,0,2023-01-03 06:00:00
656,17,0,0,2023-01-03 07:00:00
720,47,0,0,2023-01-03 08:00:00
65,26,0,0,2023-01-03 09:00:00
488,49,0,0,2023-01-03 10:00:00
220,16,0,0,2023-01-03 11:00:00
228,28,0,0,2023-01-03 12:00:00
113,35,0,0,2023-01-03 13:00:00
155,16,0,0,2023-01-03 14:00:00
964,3,0,0,2023-01-03 15:00:00
464,8,0,0,2023-01-03 16:00:00
524,11,0,0,2023-01-03 17:00:00
367,17,0,0,2023-01-03 18:00:00
834,12,0,0,2023-01-03 19:00:00
921,15,0,0,2023-01-03 20:00:00
619,48,0,0,2023-01-03 21:00:00
692,27,0,0,2023-01-03 22:00:00
623,40,0,0,2023-01-03 23:00:00
193,5,0,0,2023-01-04 00:00:00
343,14,0,0,2023-01-04 01:00:00
283,23,0,0,2023-01-04 02:00:00
102,8,0,0,2023-01-04 03:00:00
253,13,0,0,2023-01-04 04:00:00
993,47,0,0,2023-01-04 05:00:00
146,21,0,0,2023-01-04 06:00:00
659,4,0,0,2023-01-04 07:00:00
433,1,0,0,2023-01-04 08:00:00
233,45,0,0,2023-01-04 09:00:00
633,15,0,0,2023-01-04 10:00:00
53,9,0,0,2023-01-04 11:00:00
806,33,0,0,2023-01-04 12:00:00
845,38,0,0,2023-01-04 13:00:00
119,19,0,0,2023-01-04 14:00:00
654,11,0,0,2023-01-04 15:00:00
588,50,0,0,2023-01-04 16:00:00
478,25,0,0,2023-01-04 17:00:00
236,45,0,0,2023-01-04 18:00:00
739,22,0,0,2023-01-04 19:00:00
992,26,0,0,2023-01-04 20:00:00
479,45,0,0,2023-01-04 21:00:00
521,43,0,0,2023-01-04 22:00:00
822,47,0,0,2023-01-04 23:00:00
637,2,0,0,2023-01-05 00:00:00
645,38,0,0,2023-01-05 01:00:00
967,25,0,0,2023-01-05 02:00:00
